name,cuisine,price,link
Happiness,"North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages",₹400 for two,https://www.zomato.com/gwalior/happiness-lashkar/info
,,,https://www.zomato.com/gwalior/the-mansingh-lashkar/info
The Mansingh,"North Indian, Mughlai, Biryani, Beverages, Desserts","₹1,000 for two",https://www.zomato.com/gwalior/the-mansingh-lashkar/info
,,,https://www.zomato.com/gwalior/cloudx-cafe-8-city-center/info
CloudX Cafe,"Cafe, Coffee, Tea, Shake, Beverages, Chinese, Fast Food, Pizza",₹400 for two,https://www.zomato.com/gwalior/cloudx-cafe-8-city-center/info
,,,https://www.zomato.com/gwalior/ashok-hotel-1-lashkar/info
Ashok Hotel,North Indian,₹250 for two,https://www.zomato.com/gwalior/ashok-hotel-1-lashkar/info
,,,https://www.zomato.com/gwalior/raj-restaurant-lashkar/info
Raj Restaurant,"North Indian, Biryani, Mughlai",₹400 for two,https://www.zomato.com/gwalior/raj-restaurant-lashkar/info
,,,https://www.zomato.com/gwalior/hotel-gold-inn-lashkar/info
Hotel Gold Inn,"North Indian, Chinese, Mughlai, Street Food, Sandwich, Fast Food, Beverages, Kebab","₹1,000 for two",https://www.zomato.com/gwalior/hotel-gold-inn-lashkar/info
,,,https://www.zomato.com/gwalior/masala-darbar-naya-bazaar/info
Masala Darbar,"North Indian, Chinese",₹350 for two,https://www.zomato.com/gwalior/masala-darbar-naya-bazaar/info
,,,https://www.zomato.com/gwalior/winni-cakes-and-more-city-center/info
Winni Cakes And More,"Bakery, Desserts, Fast Food, Pizza, Rolls",₹250 for two,https://www.zomato.com/gwalior/winni-cakes-and-more-city-center/info
,,,https://www.zomato.com/gwalior/hotel-mahima-city-center/info
Hotel Mahima,"North Indian, Chinese, Mughlai, Fast Food, Finger Food, Beverages",₹700 for two,https://www.zomato.com/gwalior/hotel-mahima-city-center/info
,,,https://www.zomato.com/gwalior/shake-it-baby-city-center/info
Shake It Baby,"Beverages, Fast Food, Desserts, Coffee, Burger, Sandwich, Shake, Waffle",₹300 for two,https://www.zomato.com/gwalior/shake-it-baby-city-center/info
,,,https://www.zomato.com/gwalior/punjabi-rasoi-city-center/info
Punjabi Rasoi,"North Indian, Chinese, Beverages, Street Food",₹300 for two,https://www.zomato.com/gwalior/punjabi-rasoi-city-center/info
,,,https://www.zomato.com/chicken-station-food-truck/info
Chicken Station,North Indian,₹400 for two,https://www.zomato.com/chicken-station-food-truck/info
,,,https://www.zomato.com/gwalior/hype-air-bar-kitchen-city-center/info
Hype Air Bar & Kitchen,"Bar Food, North Indian, Mughlai, Seafood, Kebab, Chinese, Fast Food","₹1,100 for two",https://www.zomato.com/gwalior/hype-air-bar-kitchen-city-center/info
,,,https://www.zomato.com/gwalior/radha-ki-rasoi-city-center/info
